Domain,Error Count,Warning Count,Error Details[0],Warning Details[0]
asla.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ath.gov.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aumc.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
auria.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
autoline24.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aurdekhao.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
authentico.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
autoresponder.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
autoready.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
atrc.net.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
autotel.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
awamiawaz.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
axem.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
autopower.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
awab.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
aws.yasar.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
azads.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
babiesworld.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
av.ears.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
ayubmed.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
baby-store.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
babafareed.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
azaadurdu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
backendadmin.alliedschools.edu.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
b1.truckload.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
backend.goto.com.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
azpackages.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
babytoys.pk,1,0,e_sub_cert_aia_does_not_contain_ocsp_url,
